;Unnamed: 0;Time;thdV1_Avg [%];dcV1_Avg [V];har01V1_Avg [V];har02V1_Avg [V];har03V1_Avg [V];har04V1_Avg [V];har05V1_Avg [V];har06V1_Avg [V];har07V1_Avg [V];har08V1_Avg [V];har09V1_Avg [V];har10V1_Avg [V];har11V1_Avg [V];har12V1_Avg [V];har13V1_Avg [V];har14V1_Avg [V];har15V1_Avg [V];har16V1_Avg [V];har17V1_Avg [V];har18V1_Avg [V];har19V1_Avg [V];har20V1_Avg [V];thdV2_Avg [%];dcV2_Avg [V];har01V2_Avg [V];har02V2_Avg [V];har03V2_Avg [V];har04V2_Avg [V];har05V2_Avg [V];har06V2_Avg [V];har07V2_Avg [V];har08V2_Avg [V];har09V2_Avg [V];har10V2_Avg [V];har11V2_Avg [V];har12V2_Avg [V];har13V2_Avg [V];har14V2_Avg [V];har15V2_Avg [V];har16V2_Avg [V];har17V2_Avg [V];har18V2_Avg [V];har19V2_Avg [V];har20V2_Avg [V];thdV3_Avg [%];dcV3_Avg [V];har01V3_Avg [V];har02V3_Avg [V];har03V3_Avg [V];har04V3_Avg [V];har05V3_Avg [V];har06V3_Avg [V];har07V3_Avg [V];har08V3_Avg [V];har09V3_Avg [V];har10V3_Avg [V];har11V3_Avg [V];har12V3_Avg [V];har13V3_Avg [V];har14V3_Avg [V];har15V3_Avg [V];har16V3_Avg [V];har17V3_Avg [V];har18V3_Avg [V];har19V3_Avg [V];har20V3_Avg [V];thdVNPE_Avg [%];dcVNPE_Avg [V];har01VNPE_Avg [V];har02VNPE_Avg [V];har03VNPE_Avg [V];har04VNPE_Avg [V];har05VNPE_Avg [V];har06VNPE_Avg [V];har07VNPE_Avg [V];har08VNPE_Avg [V];har09VNPE_Avg [V];har10VNPE_Avg [V];har11VNPE_Avg [V];har12VNPE_Avg [V];har13VNPE_Avg [V];har14VNPE_Avg [V];har15VNPE_Avg [V];har16VNPE_Avg [V];har17VNPE_Avg [V];har18VNPE_Avg [V];har19VNPE_Avg [V];har20VNPE_Avg [V]
0;1;2023-04-11 09:00:00;1.503;0;-231.9;0.048;1.128;-0.051;-2.885;0.003;0.648;-0.146;0.107;0.068;0.497;0.029;-0.423;-0.022;-0.385;-0.153;-0.445;-0.103;-0.227;-0.129;1.305;0;-233.9;0.021;-0.366;-0.173;2.331;0.046;0.052;-0.152;-0.829;0.106;1.004;-0.067;0.551;-0.147;0.482;0.072;-0.157;0.071;0.095;-0.137;1.676;0;-230.4;0.028;-1.61;-0.117;-2.816;-0.02;0.248;-0.135;0.445;-0.011;0.668;0.035;-0.387;-0.193;0.103;-0.027;-0.262;0.049;-0.308;-0.204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;2023-04-11 09:10:00;1.522;0;-232.0;0.03;1.095;-0.07;-2.992;-0.009;0.585;-0.175;0.079;0.097;0.441;0.027;-0.325;0.084;-0.344;-0.099;-0.424;-0.136;-0.269;-0.116;1.361;0;-234.0;0.026;-0.41;-0.192;2.516;0.067;-0.133;-0.211;-0.834;0.107;0.917;-0.095;0.544;-0.213;0.5;0.084;-0.009;0.104;0.221;0.151;1.684;0;-230.4;0.019;-1.488;-0.107;-3.224;-0.071;0.19;-0.182;0.44;-0.056;0.656;0.039;-0.298;-0.144;0.061;-0.039;-0.237;0.043;-0.302;-0.203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;3;2023-04-11 09:20:00;1.49;0;-231.3;0.04;1.046;-0.055;-2.929;-0.004;0.538;-0.187;0.083;0.038;0.441;0.025;-0.337;0.06;-0.346;-0.116;-0.154;-0.051;-0.237;-0.128;1.351;0;-233.4;0.027;-0.427;-0.192;2.472;0.055;-0.193;-0.19;-0.866;0.096;0.954;-0.024;0.532;-0.197;0.471;0.085;0.07;0.071;0.024;0.008;1.65;0;-229.9;0.031;-1.434;-0.141;-1.649;-0.026;-0.156;-0.171;0.393;-0.028;0.65;0.034;-0.216;-0.168;-0.024;-0.022;-0.223;0.036;-0.337;-0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;4;2023-04-11 09:30:00;1.552;0;-231.7;0.037;0.85;-0.068;-3.15;-0.011;0.437;-0.202;0.099;0.064;0.489;0.022;-0.402;0.007;-0.36;-0.191;-0.223;-0.075;-0.254;-0.133;1.362;0;-233.4;0.029;-0.476;-0.197;2.523;0.046;-0.365;-0.18;-0.862;0.092;0.918;0.058;0.55;-0.171;0.444;0.037;-0.065;0.053;-0.147;-0.063;1.654;0;-229.9;0.036;-1.443;-0.155;-2.816;-0.013;-0.482;-0.161;0.403;0.036;0.629;0.027;-0.32;-0.196;-0.064;-0.092;-0.156;0.025;-0.323;-0.194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;5;2023-04-11 09:40:00;1.553;0;-231.7;0.043;0.897;-0.066;-3.113;-0.02;0.618;-0.201;0.104;0.103;0.567;0.005;0.15;0.022;-0.305;-0.193;-0.337;0.039;-0.266;-0.117;1.385;0;-233.7;0.029;-0.527;-0.196;2.57;0.043;-0.278;-0.182;-0.855;0.089;0.957;-0.015;0.559;-0.183;0.425;-0.03;-0.037;0.054;-0.153;-0.246;1.612;0;-230.6;0.032;-1.386;-0.185;-3.046;-0.031;-0.131;-0.163;0.43;-0.072;0.82;0.034;0.405;-0.172;-0.146;-0.111;-0.196;0.051;-0.349;-0.208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;6;2023-04-11 09:50:00;1.578;0;-232.3;0.044;0.865;-0.102;-2.416;-0.028;0.569;-0.187;0.095;0.107;0.6;0.004;0.102;0.02;-0.306;-0.196;-0.314;0.05;-0.262;-0.123;1.399;0;-234.0;0.025;-0.544;-0.197;2.624;0.048;-0.325;-0.174;-0.85;0.089;0.958;-0.057;0.54;-0.184;0.414;-0.043;-0.069;0.052;-0.146;-0.267;1.603;0;-230.6;0.035;-1.368;-0.177;-3.047;-0.037;0.074;-0.151;0.409;-0.107;0.776;0.039;0.393;-0.175;-0.151;-0.119;-0.173;0.035;-0.341;-0.203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;7;2023-04-11 10:00:00;1.539;0;-232.2;0.046;0.959;-0.079;-3.057;-0.017;0.626;-0.181;0.096;0.088;0.57;0.008;-0.202;0.007;-0.286;-0.193;-0.322;0.022;-0.29;-0.116;1.37;0;-234.4;0.029;-0.498;-0.197;2.572;0.046;-0.28;-0.181;-0.836;0.089;0.947;-0.071;0.539;-0.173;0.412;-0.054;-0.088;0.056;-0.145;-0.256;1.585;0;-231.0;0.027;-1.401;-0.183;-2.985;-0.037;0.492;-0.159;0.359;-0.112;0.776;0.043;0.269;-0.17;-0.149;-0.115;-0.159;0.048;-0.326;-0.205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;8;2023-04-11 10:10:00;1.602;0;-232.7;0.042;0.897;-0.064;-3.229;-0.018;0.587;-0.183;0.097;0.099;0.592;0.014;-0.297;0.022;-0.298;-0.199;-0.231;0.025;-0.295;-0.12;1.403;0;-234.5;0.029;-0.498;-0.191;2.644;0.043;-0.36;-0.175;-0.849;0.086;0.946;-0.063;0.548;-0.168;0.381;-0.055;-0.049;0.053;-0.166;-0.26;1.603;0;-231.1;0.03;-1.427;-0.176;-3.008;-0.037;0.426;-0.146;0.378;-0.108;0.806;0.045;0.395;-0.174;-0.016;-0.118;-0.161;0.035;-0.357;-0.197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;9;2023-04-11 10:20:00;1.599;0;-232.7;0.047;0.878;-0.072;-3.212;-0.019;0.622;-0.177;0.092;0.101;0.586;0.011;-0.267;0.019;-0.31;-0.203;-0.31;0.034;-0.266;-0.115;1.408;0;-234.8;0.028;-0.532;-0.201;2.636;0.044;-0.323;-0.172;-0.875;0.087;0.937;-0.06;0.556;-0.167;0.378;-0.077;0.064;0.051;-0.17;-0.255;1.616;0;-231.4;0.033;-1.461;-0.181;-3.035;-0.037;0.516;-0.146;0.4;-0.09;0.796;0.044;0.411;-0.177;0.04;-0.115;-0.141;0.039;-0.344;-0.196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;10;2023-04-11 10:30:00;1.658;0;-233.0;0.044;0.887;-0.088;-3.336;-0.019;0.682;-0.196;0.104;0.093;0.557;0.015;-0.231;0.033;-0.313;-0.187;-0.249;0.011;-0.277;-0.111;1.465;0;-234.7;0.028;-0.52;-0.214;2.78;0.047;-0.21;-0.186;-0.897;0.082;0.883;-0.05;0.518;-0.171;0.387;-0.025;0.003;0.055;-0.157;-0.247;1.632;0;-231.0;0.036;-1.443;-0.179;-3.083;-0.041;0.393;-0.149;0.393;-0.084;0.755;0.043;0.397;-0.16;-0.044;-0.113;-0.163;0.033;-0.353;-0.191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
